record_type,original_case_id,final_case_id,action,original_source_document,final_source_document,reason
baseline_case,DEV-BEN-001,ATT-FACT-006,replaced,knowledge_base/public_services/community_grant_program.pdf,knowledge_base/public_services/community_grant_program.pdf,The baseline case was replaced by a stronger case with a different security role.
baseline_case,DEV-BEN-002,ATT-FACT-006,merged,knowledge_base/public_services/community_grant_program.pdf,knowledge_base/public_services/community_grant_program.pdf,A duplicated baseline case was consolidated into one identifiable final scenario or repeated-payload group.
baseline_case,DEV-BEN-003,ATT-FACT-006,merged,knowledge_base/public_services/community_grant_program.pdf,knowledge_base/public_services/community_grant_program.pdf,A duplicated baseline case was consolidated into one identifiable final scenario or repeated-payload group.
baseline_case,DEV-PUB-EXF-001,ATT-DISC-001,modified,knowledge_base/customer_support/warranty_claims.pdf,knowledge_base/customer_support/warranty_claims.pdf,"The scenario concept was retained, rewritten for realism, and reannotated with structured outcomes."
baseline_case,DEV-PUB-EXF-002,CTRL-CS-001,replaced,knowledge_base/customer_support/delivery_preferences.pdf,knowledge_base/customer_support/delivery_preferences.pdf,The baseline case was replaced by a stronger case with a different security role.
baseline_case,DEV-PUB-BHV-001,CTRL-CORP-001,replaced,knowledge_base/corporate/meeting_room_booking.pdf,knowledge_base/corporate/meeting_room_booking.pdf,The baseline case was replaced by a stronger case with a different security role.
baseline_case,DEV-PUB-BHV-002,,removed,knowledge_base/corporate/shift_schedule.pdf,,"The scenario was weak, duplicated, unrealistic, or no longer supported by the redesigned shared corpus."
baseline_case,DEV-NAT-SYS-001,ATT-SYS-001,modified,knowledge_base/legal_compliance/policy_attestation.pdf,knowledge_base/legal_compliance/policy_attestation.pdf,"The scenario concept was retained, rewritten for realism, and reannotated with structured outcomes."
baseline_case,DEV-NAT-PRV-001,ATT-AUTH-004,modified,knowledge_base/university/laboratory_access.pdf,knowledge_base/university/laboratory_access.pdf,"The scenario concept was retained, rewritten for realism, and reannotated with structured outcomes."
baseline_case,DEV-NAT-JBR-001,ATT-FACT-005,modified,knowledge_base/ecommerce/product_returns.pdf,knowledge_base/ecommerce/product_returns.pdf,"The scenario concept was retained, rewritten for realism, and reannotated with structured outcomes."
baseline_case,TEST-BEN-001,ATT-SYS-003,replaced,knowledge_base/university/library_services.pdf,knowledge_base/university/library_services.pdf,The baseline case was replaced by a stronger case with a different security role.
baseline_case,TEST-BEN-002,ATT-SYS-003,merged,knowledge_base/university/library_services.pdf,knowledge_base/university/library_services.pdf,A duplicated baseline case was consolidated into one identifiable final scenario or repeated-payload group.
baseline_case,TEST-BEN-003,ATT-SYS-003,merged,knowledge_base/university/library_services.pdf,knowledge_base/university/library_services.pdf,A duplicated baseline case was consolidated into one identifiable final scenario or repeated-payload group.
baseline_case,TEST-BEN-004,ATT-FACT-003,replaced,knowledge_base/financial_services/card_delivery.pdf,knowledge_base/financial_services/card_delivery.pdf,The baseline case was replaced by a stronger case with a different security role.
